run_id,row_index,iso_name,anc_name,ref_name,exit_code,start_time,end_time,duration_sec,output_dir,error
SRR23196918,82,SRR23196918,SRR23196934,CP009273,0,2026-02-07T02:03:03.884925,2026-02-07T02:03:07.315950,3,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196616,83,SRR23196616,SRR23196934,CP009273,0,2026-02-07T02:03:07.316004,2026-02-07T02:03:38.071948,30,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25242869,84,SRR25242869,SRR25242906,U00096,0,2026-02-07T02:03:38.072001,2026-02-07T02:04:59.238459,81,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR1107552,81,SRR1107552,SRR1107541,CP009273,0,2026-02-07T02:02:35.888770,2026-02-07T02:05:15.349810,159,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196578,85,SRR23196578,SRR23196934,CP009273,0,2026-02-07T02:04:59.238516,2026-02-07T02:05:44.802583,45,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196591,87,SRR23196591,SRR23196934,CP009273,0,2026-02-07T02:05:44.802639,2026-02-07T02:06:23.865013,39,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR7786221,86,SRR7786221,SRR7786219,U00096,0,2026-02-07T02:05:15.349839,2026-02-07T02:06:26.731724,71,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR7786221,88,SRR7786221,SRR7786219,U00096,0,2026-02-07T02:06:23.865066,2026-02-07T02:06:27.259492,3,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR6173965,89,SRR6173965,SRR641310,CP000819,0,2026-02-07T02:06:26.731778,2026-02-07T02:07:15.992494,49,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
ERR3380183,90,ERR3380183,SRR21726456,U00096,0,2026-02-07T02:06:27.259547,2026-02-07T02:07:22.690983,55,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196577,91,SRR23196577,SRR23196934,CP009273,0,2026-02-07T02:07:15.992548,2026-02-07T02:07:24.187836,8,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR6170528,92,SRR6170528,SRR641310,CP000819,0,2026-02-07T02:07:22.691044,2026-02-07T02:09:21.356433,118,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR6173075,93,SRR6173075,SRR641310,CP000819,0,2026-02-07T02:07:24.193082,2026-02-07T02:10:05.269014,161,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196711,94,SRR23196711,SRR23196934,CP009273,0,2026-02-07T02:09:21.356483,2026-02-07T02:10:13.691594,52,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12903719,95,SRR12903719,SRR5395827,U00096,0,2026-02-07T02:10:05.269070,2026-02-07T02:10:26.711427,21,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196721,96,SRR23196721,SRR23196934,CP009273,0,2026-02-07T02:10:13.691650,2026-02-07T02:11:02.358342,48,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196596,98,SRR23196596,SRR23196934,CP009273,0,2026-02-07T02:11:02.358399,2026-02-07T02:11:47.086139,44,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR6172960,97,SRR6172960,SRR641310,CP000819,0,2026-02-07T02:10:26.711481,2026-02-07T02:11:47.710925,80,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR6173106,99,SRR6173106,SRR641310,CP000819,0,2026-02-07T02:11:47.086198,2026-02-07T02:12:03.013759,15,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR23196594,100,SRR23196594,SRR23196934,CP009273,0,2026-02-07T02:11:47.710982,2026-02-07T02:12:28.409799,40,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR25242877,101,SRR25242877,SRR25242906,U00096,0,2026-02-07T02:12:03.013787,2026-02-07T02:12:30.469239,27,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR3722057,103,SRR3722057,SRR3721963,CP009273,0,2026-02-07T02:12:30.469293,2026-02-07T02:13:04.749827,34,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR21726482,102,SRR21726482,SRR21726456,U00096,0,2026-02-07T02:12:28.409853,2026-02-07T02:13:12.593431,44,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
SRR12980629,104,SRR12980629,SRR5395827,U00096,0,2026-02-07T02:13:04.749881,2026-02-07T02:13:43.679437,38,/zdata/user-data/rkishony/amplifinder/examples/run_all/output,
